"","Land_use","species","guild","A_match","SD_match","A_mtheta","A_nopartners","p_value","forest_cover","Coef_matchr"
"2046","Core",27,"hosts",0.284585364477095,0.0689764315941681,0.553174175259175,1.25545171339564,0.25,0.5,0.242375189324677
"2047","Core",27,"parasites",0.38874420810347,0.0689569183837899,0.475718692726135,1.53289473684211,0.25,0.5,0.177383783337129
"2048","Core",28,"hosts",0.327922078466822,0.0992093567106954,0.679612105147345,0.939334637964775,0.25,0.5,0.302539423922117
"2049","Core",28,"parasites",0.451041207865137,0.0495700603637736,0.379834987038224,1,0.25,0.5,0.109901400358513
"2050","Core",29,"hosts",0.31139042507082,0.0500730308531737,0.169379320244814,4.44469525959368,0.25,0.5,0.16080465814511
"2051","Core",29,"parasites",0.448901962216409,0.0500608735556129,0.378092784750355,1,0.25,0.5,0.111518500183074
"2052","Core",30,"hosts",0.35090996323989,0.0605114485549679,0.733802078813985,0.871508379888268,0.25,0.5,0.172441523165305
"2053","Core",30,"parasites",0.38889679694477,0.064804703483919,0.480997817933961,3.10267857142857,0.25,0.5,0.166637277532328
"2054","Core",31,"hosts",0.383919879709178,0.0598099605262512,0.644895238895675,0.581447963800905,0.25,0.5,0.155787610090829
"2055","Core",31,"parasites",0.417983541370992,0.0571697547204785,0.320744567126861,3.18181818181818,0.25,0.5,0.136775133616412
"2056","Core",32,"hosts",0.339067845478743,0.0760376794577109,0.546188042824798,1.50552486187845,0.25,0.5,0.224255058306547
"2057","Core",32,"parasites",0.413195867133143,0.0584137520709301,0.276878945047869,4.80932203389831,0.25,0.5,0.141370610689355
"2058","Core",33,"hosts",0.295998846787421,0.0696161214861312,0.267633573804563,2.64745011086475,0.25,0.5,0.23519051591484
"2059","Core",33,"parasites",0.405143384502399,0.0593320338573515,0.289991551213822,3.98701298701299,0.25,0.5,0.146447001547918
"2060","Core",34,"hosts",0.296219846768548,0.0639070128819425,0.445576693177757,1.64197530864198,0.25,0.5,0.215741833570917
"2061","Core",34,"parasites",0.338823550575082,0.0647910966764242,0.509695038009046,3.74222222222222,0.25,0.5,0.191223710885665
"2062","Core",35,"hosts",0.305695790996151,0.0721381908711191,0.458886278009833,3.59838274932615,0.25,0.5,0.23598032094602
"2063","Core",35,"parasites",0.38885057380758,0.0612437764370274,0.306079169198961,1.6039886039886,0.25,0.5,0.157499514112414
"2064","Core",36,"hosts",0.117562140298023,0.0479479678247729,0.672536069724557,1.49242424242424,0.25,0.5,0.407852117214127
"2065","Core",36,"parasites",0.336671317498266,0.0590899388602501,0.813591092925544,1.3953488372093,0.25,0.5,0.17551224529412
"2066","Core",37,"hosts",0.323081640640494,0.0781479822066652,0.41916436653376,5.74782608695652,0.25,0.5,0.241883079619568
"2067","Core",37,"parasites",0.337993486589551,0.0554374270938371,0.815890014029219,1.41883116883117,0.25,0.5,0.164019217213966
"2068","Core",38,"hosts",0.228827794677843,0.0618278642422788,0.731945729271566,0.838582677165354,0.25,0.5,0.270193856167358
"2069","Core",38,"parasites",0.404308897738602,0.057527765107399,0.767357772997361,1,0.25,0.5,0.142286666034722
"2070","Core",39,"hosts",0.404159441735601,0.0573139455127291,0.680587486406029,0.781395348837209,0.25,0.5,0.141810235254193
"2071","Core",39,"parasites",0.405671380212512,0.0537903426804629,0.750405641455707,1,0.25,0.5,0.132595852959321
"2072","Core",40,"hosts",0.348799902405844,0.0507166293650271,0.71255172581767,0.827338129496403,0.25,0.5,0.145403221202786
"2073","Core",40,"parasites",0.405331089765255,0.0543956376185897,0.745328930570991,1,0.25,0.5,0.134200506677375
"2074","Core",41,"hosts",0.337095462875716,0.0638571111381799,0.731748437761098,0.95,0.25,0.5,0.189433315398028
"2075","Core",41,"parasites",0.405429643395444,0.0529714209935161,0.770925544657234,1,0.25,0.5,0.130655026973075
"2076","Core",42,"hosts",0.296804070209702,0.0792790388386224,0.187554587451872,3.58478260869565,0.25,0.5,0.267109001512712
"2077","Core",42,"parasites",0.407981749952538,0.0551883989753779,0.758318684080975,1,0.25,0.5,0.135271734536651
"2078","Core",43,"hosts",0.364587143605463,0.0653025150690923,0.664619222038901,0.859154929577465,0.25,0.5,0.179113597981829
"2079","Core",43,"parasites",0.407897028449262,0.0535820136163927,0.753418594793305,1,0.25,0.5,0.13136161795564
"2080","Core",44,"hosts",0.272187063293113,0.0642002033692332,0.153523281482131,7.5802752293578,0.25,0.5,0.235867945347929
"2081","Core",45,"hosts",0.211978760809884,0.0361696250558595,0.141773887767782,6.82708333333333,0.25,0.5,0.170628533338293
"2082","Core",46,"hosts",0.278827324457665,0.0712987198543757,0.237500486479558,7.42627345844504,0.25,0.5,0.255709227899582
"2083","Core",47,"hosts",0.180987148209398,0.0553409473131443,0.622821370521871,0.73972602739726,0.25,0.5,0.305772801332369
"2084","Core",47,"parasites",0.3196811984874,0.0561858082208842,0.698709107832242,1.47868852459016,0.25,0.5,0.175755748185168
